网络节点数,网络连接数,网络直径,网络平均度,网络平均路径长度,网络聚类系数,网络连通分量个数
43,19,8,0.8837209302325582,0.0,3.3258426966292136,24
43,30,10,1.3953488372093024,0.07364341085271317,3.728395061728395,15
43,69,7,3.2093023255813953,0.267109634551495,3.315702479338843,5
43,171,5,7.953488372093023,0.5337197686034897,2.122781065088757,3
43,351,3,16.325581395348838,0.7501787926163604,1.499265785609398,2
43,902,2,41.95348837209303,0.998892580287929,1.0011074197120708,1
